STRATEGY,FRONT,BACK,STARTTIME,ENDTIME
SLSL,XCME.ZN.0,XEUR.FGBL.0,080000,215900
SLSL,XCME.ZN.0,XEUR.FGBM.0,080000,215900
SLSL,XCME.ZB.0,XEUR.FGBX.0,080000,215900
SLSL,XCME.ZB.0,XEUR.FGBL.0,080000,215900
SLSL,XCME.ZB.0,XEUR.FGBM.0,080000,215900
SLSL,XEUR.FGBS.0,XEUR.FGBX.0,080000,215900
SLSL,XEUR.FGBS.0,XEUR.FGBL.0,080000,215900
SLSL,XEUR.FGBS.0,XEUR.FGBM.0,080000,215900
SLSL,XEUR.FGBM.0,XEUR.FGBX.0,080000,215900
SLSL,XEUR.FGBM.0,XEUR.FGBL.0,080000,215900
SLSL,XEUR.FOAT.0,XEUR.FGBL.0,080000,185900
SLSL,XEUR.FOAT.0,XCME.ZN.0,080000,185900
SLSL,XEUR.FBTP.0,XEUR.FGBL.0,080000,185900
SLSL,XCME.ZN.0,XLIF.R.0,090000,185900
SLSL,XCME.ZB.0,XLIF.R.0,090000,185900
SLSL,XLIF.R.0,XEUR.FGBL.0,090000,185900
SLSL,XLIF.R.0,XEUR.FGBM.0,090000,185900
SLSL,XEUR.FOAT.0,XLIF.R.0,090000,185900
