CLP_SaintPeterandSaintPaul;20190629;00:00;Saint Peter and Saint Paul ;Chile;CLP;0
EUR_EurG20Meeting;20190629;00:00;G20 Meeting;European Monetary Union;EUR;2
EUR_EurCentralBankSpeech;20190629;14:00;ECB Mersch speech;European Monetary Union;EUR;2
